indicator_type,Company,Sector,Country,Region,Indicator,KPI,Unit,year,value
Social,ABInBev,Consumer Defensive,South Africa,Africa,CSI,Humanitarian relief support donation,million USD,2023,15
Social,ABInBev,Consumer Defensive,South Africa,Africa,CSI,Cans of emergency drinking water delivered,million,2023,10
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Number of employees,Number,2023,37107
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Number of employees,Number,2022,35451
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Number of employees,Number,2021,35267
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Number of employees,Number,2020,36737
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Vacancies filled,Number,2023,7162
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Vacancies filled,Number,2022,9374
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Vacancies filled,Number,2021,7081
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Vacancies filled,Number,2020,4277
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal candidates,%,2023,39.5
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal candidates,%,2022,61.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal candidates,%,2021,70.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal candidates,%,2020,74.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal promotions - Female,%,2023,45.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal promotions - Female,%,2022,61.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal promotions - Female,%,2021,53.8
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Internal promotions - Female,%,2020,51.7
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,New hires - Female,%,2023,53.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,New hires - Female,%,2022,51.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,New hires - Female,%,2021,45.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,New hires - Female,%,2020,44.7
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate,%,2023,7.25
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate,%,2022,9.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate,%,2021,8.7
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate,%,2020,7
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Male,%,2023,6.5
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Male,%,2022,11
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Male,%,2021,10.1
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Male,%,2020,8.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover - Female,%,2023,8.5
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover - Female,%,2022,8
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover - Female,%,2021,8
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover - Female,%,2020,6.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Voluntary,%,2023,5.5
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Voluntary,%,2022,7.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Voluntary,%,2021,6.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Voluntary,%,2020,4.9
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,0 - 2 years,%,2023,23.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,0 - 2 years,%,2022,16.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,0 - 2 years,%,2021,14.1
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,0 - 2 years,%,2020,16.9
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,3 - 5 years,%,2023,11.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,3 - 5 years,%,2022,17
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,3 - 5 years,%,2021,18.7
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,3 - 5 years,%,2020,18.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,6 - 10 years,%,2023,22.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,6 - 10 years,%,2022,22.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,6 - 10 years,%,2021,22.5
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,6 - 10 years,%,2020,21.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,11 - 20 years,%,2023,31
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,11 - 20 years,%,2022,31.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,11 - 20 years,%,2021,31.8
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,11 - 20 years,%,2020,30.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,21 - 30 years,%,2023,7.7
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,21 - 30 years,%,2022,8.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,21 - 30 years,%,2021,8.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,21 - 30 years,%,2020,8.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,31 - 40 years,%,2023,4
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,31 - 40 years,%,2022,4.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,31 - 40 years,%,2021,4.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,31 - 40 years,%,2020,4.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,> 41 years,%,2023,0.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,> 41 years,%,2022,0.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,> 41 years,%,2021,0.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employee tenure,> 41 years,%,2020,0.1
Social,ABSA Group,Financial Services,South Africa,Africa,Diversity,Female employees,%,2023,60.6
Social,ABSA Group,Financial Services,South Africa,Africa,Diversity,Female employees,%,2022,60.8
Social,ABSA Group,Financial Services,South Africa,Africa,Diversity,Female employees,%,2021,60.9
Social,ABSA Group,Financial Services,South Africa,Africa,Diversity,Female employees,%,2020,61.1
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Senior management - Female,%,2023,38.8
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Senior management - Female,%,2022,37
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Senior management - Female,%,2021,35
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Senior management - Female,%,2020,35.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Middle management - Female,%,2023,51.8
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Middle management - Female,%,2022,51.2
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Middle management - Female,%,2021,50.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Middle management - Female,%,2020,51.1
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Junior management - Female,%,2023,67.3
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Junior management - Female,%,2022,66.8
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Junior management - Female,%,2021,67.1
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Junior management - Female,%,2020,67.1
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,"Junior, middle and senior management - Female",%,2023,59.4
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,"Junior, middle and senior management - Female",%,2022,61.7
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,"Junior, middle and senior management - Female",%,2021,61.8
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,"Junior, middle and senior management - Female",%,2020,62
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Female in revenue generating functions,%,2023,63.5
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Female in revenue generating functions,%,2022,63.6
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Female in revenue generating functions,%,2021,64.7
Social,ABSA Group,Financial Services,South Africa,Africa,Employment equity,Female in revenue generating functions,%,2020,64.9
Social,ABSA Group,Financial Services,South Africa,Africa,Employee remuneration,Salaries and wages,Rbillion,2023,31515
Social,ABSA Group,Financial Services,South Africa,Africa,Employee remuneration,Salaries and wages,Rbillion,2022,27823
Social,ABSA Group,Financial Services,South Africa,Africa,Employee remuneration,Salaries and wages,Rbillion,2021,26133
Social,ABSA Group,Financial Services,South Africa,Africa,Employee remuneration,Salaries and wages,Rbillion,2020,25407
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Number of trade unions,Number,2023,16
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Number of trade unions,Number,2022,16
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Number of trade unions,Number,2021,15
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Number of trade unions,Number,2020,13
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Absenteeism rate,%,2023,1.35
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Absenteeism rate,%,2022,1.4
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Absenteeism rate,%,2021,1.71
Social,ABSA Group,Financial Services,South Africa,Africa,Labour,Absenteeism rate,%,2020,1.12
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Percentage of employees with disabilities,%,2023,0.75
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Percentage of employees with disabilities,%,2022,0.9
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Percentage of employees with disabilities,%,2021,0.93
Social,ABSA Group,Financial Services,South Africa,Africa,Employees,Percentage of employees with disabilities,%,2020,0.88
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-related injuries,Number,2023,73
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-related injuries,Number,2022,43
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-related injuries,Number,2021,25
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-related injuries,Number,2020,52
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Days lost due to injuries,Number,2023,190
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Days lost due to injuries,Number,2022,298
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Days lost due to injuries,Number,2021,185
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Days lost due to injuries,Number,2020,124
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of fatalities,Number,2023,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of fatalities,Number,2022,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of fatalities,Number,2021,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of fatalities,Number,2020,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - South Africa,Rate,2023,0.22
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - South Africa,Rate,2022,0.07
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - South Africa,Rate,2021,0.06
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - South Africa,Rate,2020,0.11
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - Absa Regional Operations,Rate,2023,0.25
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - Absa Regional Operations,Rate,2022,0.06
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - Absa Regional Operations,Rate,2021,0.03
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - Absa Regional Operations,Rate,2020,0.08
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Employees completing training on OHS policy and procedures,Number,2023,40000
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Employees completing training on OHS policy and procedures,Number,2022,42000
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Employees completing training on OHS policy and procedures,Number,2021,40000
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Employees completing training on OHS policy and procedures,Number,2020,94000
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of person days lost due to industrial action,Days,2023,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of person days lost due to industrial action,Days,2022,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of person days lost due to industrial action,Days,2021,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Number of person days lost due to industrial action,Days,2020,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Percentage of total person days lost due to industrial action,%,2023,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Percentage of total person days lost due to industrial action,%,2022,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Percentage of total person days lost due to industrial action,%,2021,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Percentage of total person days lost due to industrial action,%,2020,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Fatal-injury frequency rate,Rate,2023,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Fatal-injury frequency rate,Rate,2022,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Fatal-injury frequency rate,Rate,2021,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Fatal-injury frequency rate,Rate,2020,0
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - South Africa,Rate,2023,0.08
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - South Africa,Rate,2022,0.36
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - South Africa,Rate,2021,0.06
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - South Africa,Rate,2020,0.11
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - Absa Regional Operations,Rate,2023,0.25
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - Absa Regional Operations,Rate,2022,0.28
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - Absa Regional Operations,Rate,2021,0.03
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injury frequency rate - Absa Regional Operations,Rate,2020,0.02
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injuries,Number,2023,26
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injuries,Number,2022,17
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injuries,Number,2021,14
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Lost-time injuries,Number,2020,20
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,First aid cases,Number,2023,13
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,First aid cases,Number,2022,2
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,First aid cases,Number,2021,10
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,First aid cases,Number,2020,14
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Medical treatment cases (MTC),Number,2023,4
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Medical treatment cases (MTC),Number,2022,10
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Medical treatment cases (MTC),Number,2021,15
Social,ABSA Group,Financial Services,South Africa,Africa,Safety,Medical treatment cases (MTC),Number,2020,27
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Training spend,Rmillion,2023,608
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Training spend,Rmillion,2022,500
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Training spend,Rmillion,2021,449
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Training spend,Rmillion,2020,406.2
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Average hours training per employee,Hours,2023,47
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Average hours training per employee,Hours,2022,48.47
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Average hours training per employee,Hours,2021,55.33
Social,ABSA Group,Financial Services,South Africa,Africa,Training and development,Average hours training per employee,Hours,2020,56.42
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of graduates,Number,2023,61
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of graduates,Number,2022,107
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of graduates,Number,2021,32
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of graduates,Number,2020,35
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of bursaries,Number,2023,1237
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of bursaries,Number,2022,1056
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of bursaries,Number,2021,1148
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of bursaries,Number,2020,864
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Unemployed,Number,2023,1403
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Unemployed,Number,2022,1278
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Unemployed,Number,2021,984
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Unemployed,Number,2020,200
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Differently abled,Number,2023,170
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Differently abled,Number,2022,253
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Differently abled,Number,2021,199
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of learnerships - Differently abled,Number,2020,30
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of internships,Number,2023,1425
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of internships,Number,2022,742
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of internships,Number,2021,651
Social,ABSA Group,Financial Services,South Africa,Africa,Skills development,Number of internships,Number,2020,300
Social,Accelerate Property Fund,Real Estate,South Africa,Africa,Employees,Number of employees,Number,2023,14
Social,Accelerate Property Fund,Real Estate,South Africa,Africa,Employees,Number of employees,Number,2022,16
Social,Accelerate Property Fund,Real Estate,South Africa,Africa,Employees,Number of employees,Number,2021,14
Social,Accelerate Property Fund,Real Estate,South Africa,Africa,Employees,Number of employees,Number,2020,12
Social,Accelerate Property Fund,Real Estate,South Africa,Africa,Employee remuneration,Salaries and wages,Rmillion,2023,31.5
Social,Accelerate Property Fund,Real Estate,South Africa,Africa,Employees,Total procurement spend,Rmillion,2023,166
Social,Accelerate Property Fund,Real Estate,South Africa,Africa,CSI,CSI spend,Rmillion,2023,1.3
Social,Acsion,Real Estate,South Africa,Africa,Employees,Number of employees,Number,2023,412
Social,Acsion,Real Estate,South Africa,Africa,Employees,Number of employees,Number,2022,143
Social,Acsion,Real Estate,South Africa,Africa,Employees,Female employees (%),%,2023,55
Social,Acsion,Real Estate,South Africa,Africa,Employees,Female employees (%),%,2022,45
Social,Acsion,Real Estate,South Africa,Africa,Diversity,Average age of employees,Years,2023,37
Social,Acsion,Real Estate,South Africa,Africa,Diversity,Average age of employees,Years,2022,33
Social,Acsion,Real Estate,South Africa,Africa,Employee tenure,Average tenure,Years,2023,1.4
Social,Acsion,Real Estate,South Africa,Africa,Employee tenure,Average tenure,Years,2022,4
Social,Acsion,Real Estate,South Africa,Africa,Training and development,Training and development spend,Rand,2023,348000
Social,Acsion,Real Estate,South Africa,Africa,Skills development,Number of bursaries,Number,2023,7
Social,Acsion,Real Estate,South Africa,Africa,Skills development,Number of bursaries,Number,2022,5
Social,Acsion,Real Estate,South Africa,Africa,Skills development,Number of school children assisted with school funding,Number,2023,18
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees,Number,2023,2316
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees,Number,2022,2314
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees,Number,2021,2223
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees,Number,2020,2388
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees - Differently abled,Number,2023,65
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees - Differently abled,Number,2022,59
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees - Differently abled,Number,2021,42
Social,Adcock Ingram,Healthcare,South Africa,Africa,Employees,Number of employees - Differently abled,Number,2020,52
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Male employees (%),%,2023,49
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Male employees (%),%,2022,49.6
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Male employees (%),%,2021,50.8
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Male employees (%),%,2020,50
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Female employees (%),%,2023,51
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Female employees (%),%,2022,50.4
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Female employees (%),%,2021,49.2
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Female employees (%),%,2020,50
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,African employees,%,2023,67
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,African employees,%,2022,65.5
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,African employees,%,2021,63.7
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,African employees,%,2020,63
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Coloured employees,%,2023,12
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Coloured employees,%,2022,12.3
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Coloured employees,%,2021,13
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Coloured employees,%,2020,13
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Indian employees,%,2023,8
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Indian employees,%,2022,8
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Indian employees,%,2021,8.5
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Indian employees,%,2020,9
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,White employees,%,2023,13
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,White employees,%,2022,14.2
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,White employees,%,2021,14.8
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,White employees,%,2020,15
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Black male employees,%,2023,44
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Black male employees,%,2022,44.3
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Black male employees,%,2021,44.7
Social,Adcock Ingram,Healthcare,South Africa,Africa,Diversity,Black male employees,%,2020,44
